age	workclass	education	marital_status	occupation	race	sex	native_country	class
30s	 Private	 HS-grad	 Never-married	 Exec-managerial	 White	 Male	 United-States	 <=50K
40s	 Self-emp-inc	 HS-grad	 Married-civ-spouse	 Exec-managerial	 White	 Male	 United-States	 >50K
30s	 State-gov	 Doctorate	 Married-civ-spouse	 Exec-managerial	 White	 Male	 United-States	 >50K
30s	 Local-gov	 Bachelors	 Married-civ-spouse	 Prof-specialty	 White	 Male	 United-States	 <=50K
20s	 Private	 Some-college	 Never-married	 Adm-clerical	 White	 Male	 United-States	 <=50K
30s	 State-gov	 Assoc-acdm	 Divorced	 Protective-serv	 Black	 Male	 United-States	 <=50K
40s	 Private	 Some-college	 Married-civ-spouse	 Sales	 White	 Female	 United-States	 >50K
40s	 Private	 HS-grad	 Married-civ-spouse	 Craft-repair	 White	 Male	 United-States	 <=50K
40s	 Local-gov	 Assoc-acdm	 Divorced	 Tech-support	 Black	 Male	 United-States	 <=50K
10s	 Private	 7th-8th	 Never-married	 Transport-moving	 White	 Male	 Guatemala	 <=50K
40s	 Private	 HS-grad	 Married-civ-spouse	 Exec-managerial	 White	 Male	 United-States	 >50K
30s	 Private	 Some-college	 Divorced	 Other-service	 White	 Female	 United-States	 <=50K
10s	 Private	 Some-college	 Never-married	 Craft-repair	 White	 Male	 United-States	 <=50K
10s	 Private	 HS-grad	 Never-married	 Adm-clerical	 White	 Female	 United-States	 <=50K
40s	 Private	 HS-grad	 Married-civ-spouse	 Transport-moving	 White	 Male	 United-States	 >50K
60s	 Self-emp-not-inc	 Some-college	 Widowed	 Farming-fishing	 White	 Female	 United-States	 <=50K
20s	 Private	 Some-college	 Never-married	 Adm-clerical	 Black	 Female	 United-States	 <=50K
30s	 Private	 HS-grad	 Divorced	 Exec-managerial	 White	 Female	 United-States	 <=50K
30s	 Private	 Bachelors	 Married-civ-spouse	 Craft-repair	 White	 Male	 United-States	 >50K
20s	 Private	 HS-grad	 Divorced	 Priv-house-serv	 White	 Female	 United-States	 <=50K
40s	 Private	 12th	 Married-civ-spouse	 Handlers-cleaners	 White	 Male	 United-States	 >50K
20s	 Local-gov	 Bachelors	 Never-married	 Prof-specialty	 White	 Female	 United-States	 <=50K
20s	 Private	 HS-grad	 Divorced	 Transport-moving	 White	 Male	 United-States	 <=50K
30s	 Private	 HS-grad	 Married-civ-spouse	 Craft-repair	 White	 Male	 United-States	 <=50K
20s	 Federal-gov	 Bachelors	 Never-married	 Prof-specialty	 White	 Male	 United-States	 <=50K
70s	 Self-emp-not-inc	 10th	 Married-civ-spouse	 Craft-repair	 White	 Male	 United-States	 <=50K
40s	 Private	 HS-grad	 Married-civ-spouse	 Craft-repair	 White	 Male	 United-States	 >50K
50s	 Private	 Some-college	 Divorced	 Exec-managerial	 White	 Female	 Italy	 <=50K
30s	 Self-emp-inc	 Bachelors	 Divorced	 Exec-managerial	 White	 Male	 United-States	 <=50K
20s	 Private	 Assoc-voc	 Married-civ-spouse	 Sales	 White	 Male	 United-States	 <=50K
40s	 ?	 Bachelors	 Never-married	 ?	 White	 Female	 United-States	 <=50K
10s	 Private	 11th	 Never-married	 Adm-clerical	 Black	 Male	 United-States	 <=50K
20s	 Private	 Some-college	 Never-married	 Exec-managerial	 White	 Male	 United-States	 <=50K
40s	 Self-emp-not-inc	 Bachelors	 Married-civ-spouse	 Machine-op-inspct	 Asian-Pac-Islander	 Female	 Thailand	 <=50K
30s	 Private	 11th	 Married-civ-spouse	 Other-service	 Black	 Male	 United-States	 <=50K
50s	 Private	 7th-8th	 Married-civ-spouse	 Craft-repair	 White	 Male	 United-States	 <=50K
40s	 Private	 Some-college	 Divorced	 Adm-clerical	 Asian-Pac-Islander	 Female	 United-States	 <=50K
30s	 Private	 11th	 Married-civ-spouse	 Craft-repair	 White	 Male	 United-States	 <=50K
40s	 Private	 Some-college	 Separated	 Sales	 Amer-Indian-Eskimo	 Female	 United-States	 <=50K
40s	 Self-emp-not-inc	 Masters	 Divorced	 Prof-specialty	 White	 Female	 United-States	 <=50K
40s	 Private	 Some-college	 Married-civ-spouse	 Craft-repair	 White	 Male	 United-States	 >50K
30s	 Local-gov	 HS-grad	 Never-married	 Adm-clerical	 Amer-Indian-Eskimo	 Male	 United-States	 <=50K
40s	 Private	 Some-college	 Separated	 Craft-repair	 White	 Male	 United-States	 >50K
30s	 Private	 HS-grad	 Married-civ-spouse	 Machine-op-inspct	 White	 Male	 United-States	 <=50K
50s	 Self-emp-not-inc	 HS-grad	 Married-civ-spouse	 Other-service	 White	 Male	 United-States	 >50K
50s	 Private	 Some-college	 Married-civ-spouse	 Sales	 White	 Male	 United-States	 <=50K
30s	 Private	 HS-grad	 Married-civ-spouse	 Other-service	 Black	 Male	 United-States	 <=50K
50s	 ?	 HS-grad	 Divorced	 ?	 White	 Male	 United-States	 <=50K
30s	 Private	 11th	 Divorced	 Handlers-cleaners	 Black	 Male	 United-States	 <=50K
40s	 Private	 HS-grad	 Divorced	 Adm-clerical	 White	 Female	 United-States	 <=50K
20s	 Private	 HS-grad	 Divorced	 Other-service	 White	 Female	 United-States	 <=50K
40s	 Local-gov	 Masters	 Married-civ-spouse	 Protective-serv	 White	 Male	 United-States	 >50K
40s	 Private	 HS-grad	 Married-civ-spouse	 Craft-repair	 White	 Male	 United-States	 <=50K
30s	 Private	 HS-grad	 Married-civ-spouse	 Other-service	 White	 Male	 United-States	 >50K
50s	 Private	 Some-college	 Divorced	 Other-service	 White	 Male	 United-States	 <=50K
50s	 ?	 HS-grad	 Married-civ-spouse	 ?	 White	 Male	 United-States	 >50K
20s	 Private	 10th	 Never-married	 Adm-clerical	 White	 Female	 United-States	 <=50K
30s	 Private	 HS-grad	 Married-civ-spouse	 Craft-repair	 White	 Male	 United-States	 <=50K
20s	 Local-gov	 Assoc-acdm	 Widowed	 Prof-specialty	 White	 Male	 United-States	 <=50K
30s	 Self-emp-not-inc	 HS-grad	 Married-civ-spouse	 Craft-repair	 White	 Male	 United-States	 <=50K
40s	 ?	 HS-grad	 Married-civ-spouse	 ?	 Black	 Male	 United-States	 <=50K
40s	 Private	 Some-college	 Married-civ-spouse	 Transport-moving	 White	 Male	 United-States	 >50K
70s	 Local-gov	 Masters	 Married-civ-spouse	 Prof-specialty	 White	 Male	 Poland	 >50K
30s	 Self-emp-inc	 Bachelors	 Married-civ-spouse	 Exec-managerial	 White	 Male	 United-States	 >50K
20s	 Private	 HS-grad	 Never-married	 Machine-op-inspct	 White	 Male	 United-States	 <=50K
10s	 Private	 Some-college	 Never-married	 Other-service	 White	 Female	 United-States	 <=50K
30s	 State-gov	 Bachelors	 Married-civ-spouse	 Tech-support	 White	 Male	 United-States	 <=50K
20s	 Private	 Some-college	 Divorced	 Machine-op-inspct	 White	 Male	 United-States	 <=50K
20s	 Private	 Some-college	 Never-married	 Sales	 Black	 Male	 United-States	 <=50K
40s	 Private	 Some-college	 Married-civ-spouse	 Craft-repair	 White	 Male	 United-States	 >50K
30s	 Private	 Masters	 Married-civ-spouse	 Prof-specialty	 White	 Male	 United-States	 >50K
50s	 Federal-gov	 Some-college	 Married-civ-spouse	 Craft-repair	 White	 Male	 United-States	 <=50K
40s	 Self-emp-not-inc	 Some-college	 Married-civ-spouse	 Craft-repair	 White	 Male	 United-States	 <=50K
10s	 Private	 HS-grad	 Never-married	 Other-service	 White	 Female	 United-States	 <=50K
20s	 Private	 Some-college	 Never-married	 Sales	 Other	 Female	 United-States	 <=50K
40s	 Private	 Bachelors	 Married-civ-spouse	 Exec-managerial	 White	 Male	 United-States	 >50K
50s	 Private	 Bachelors	 Married-civ-spouse	 Exec-managerial	 Black	 Male	 United-States	 >50K
60s	 Self-emp-not-inc	 Masters	 Divorced	 Prof-specialty	 White	 Male	 United-States	 <=50K
30s	 Private	 9th	 Married-civ-spouse	 Craft-repair	 White	 Male	 United-States	 <=50K
60s	 Self-emp-not-inc	 HS-grad	 Married-civ-spouse	 Sales	 Asian-Pac-Islander	 Male	 South	 <=50K
50s	 Self-emp-inc	 HS-grad	 Married-civ-spouse	 Farming-fishing	 White	 Male	 United-States	 <=50K
30s	 Private	 Assoc-voc	 Divorced	 Machine-op-inspct	 White	 Male	 United-States	 <=50K
50s	 ?	 Preschool	 Married-spouse-absent	 ?	 White	 Male	 Mexico	 <=50K
20s	 Private	 Some-college	 Never-married	 Other-service	 White	 Female	 United-States	 <=50K
40s	 Self-emp-not-inc	 Bachelors	 Separated	 Craft-repair	 White	 Male	 United-States	 <=50K
20s	 Private	 Doctorate	 Never-married	 Prof-specialty	 White	 Male	 United-States	 <=50K
10s	 Private	 HS-grad	 Never-married	 Transport-moving	 White	 Male	 United-States	 <=50K
20s	 Private	 HS-grad	 Married-civ-spouse	 Machine-op-inspct	 White	 Female	 United-States	 <=50K
50s	 Local-gov	 HS-grad	 Married-civ-spouse	 Exec-managerial	 White	 Female	 United-States	 <=50K
60s	 Private	 HS-grad	 Married-civ-spouse	 Sales	 White	 Male	 United-States	 <=50K
70s	 Private	 Some-college	 Married-civ-spouse	 Adm-clerical	 White	 Male	 United-States	 <=50K
20s	 Private	 HS-grad	 Separated	 Machine-op-inspct	 White	 Male	 United-States	 <=50K
20s	 Private	 Some-college	 Never-married	 Sales	 White	 Male	 United-States	 <=50K
40s	 Self-emp-inc	 Bachelors	 Divorced	 Farming-fishing	 White	 Male	 United-States	 <=50K
50s	 Private	 Assoc-voc	 Married-civ-spouse	 Sales	 White	 Male	 United-States	 <=50K
30s	 Self-emp-inc	 Bachelors	 Married-civ-spouse	 Exec-managerial	 White	 Male	 United-States	 >50K
40s	 Private	 Some-college	 Married-civ-spouse	 Tech-support	 White	 Male	 United-States	 <=50K
30s	 Federal-gov	 HS-grad	 Never-married	 Adm-clerical	 Black	 Female	 United-States	 <=50K
50s	 Private	 Some-college	 Married-civ-spouse	 Craft-repair	 White	 Male	 United-States	 >50K
40s	 Private	 Bachelors	 Married-civ-spouse	 Exec-managerial	 White	 Male	 United-States	 >50K
20s	 Private	 HS-grad	 Never-married	 Craft-repair	 Black	 Male	 United-States	 <=50K
30s	 Self-emp-not-inc	 Masters	 Never-married	 Prof-specialty	 White	 Male	 United-States	 <=50K
20s	 Private	 Some-college	 Married-civ-spouse	 Machine-op-inspct	 White	 Male	 United-States	 <=50K
20s	 Private	 Some-college	 Never-married	 Sales	 White	 Female	 United-States	 <=50K
60s	 Local-gov	 HS-grad	 Married-civ-spouse	 Handlers-cleaners	 White	 Male	 United-States	 <=50K
20s	 Private	 HS-grad	 Never-married	 Adm-clerical	 White	 Female	 United-States	 <=50K
50s	 Private	 HS-grad	 Divorced	 Other-service	 White	 Female	 United-States	 <=50K
20s	 Private	 Bachelors	 Never-married	 Machine-op-inspct	 White	 Male	 United-States	 <=50K
30s	 Private	 12th	 Married-civ-spouse	 Sales	 Asian-Pac-Islander	 Female	 ?	 <=50K
60s	 Private	 Bachelors	 Married-civ-spouse	 Prof-specialty	 White	 Male	 United-States	 >50K
20s	 Private	 HS-grad	 Never-married	 Other-service	 White	 Female	 Mexico	 <=50K
20s	 Private	 Assoc-acdm	 Divorced	 Prof-specialty	 White	 Female	 United-States	 <=50K
40s	 Private	 HS-grad	 Married-civ-spouse	 Craft-repair	 White	 Male	 United-States	 <=50K
60s	 Local-gov	 Some-college	 Divorced	 Adm-clerical	 White	 Female	 United-States	 <=50K
20s	 Private	 Bachelors	 Never-married	 Tech-support	 White	 Male	 United-States	 <=50K
30s	 Private	 HS-grad	 Married-civ-spouse	 Craft-repair	 White	 Male	 United-States	 <=50K
60s	 Private	 HS-grad	 Widowed	 Handlers-cleaners	 Black	 Male	 United-States	 <=50K
70s	 ?	 HS-grad	 Married-civ-spouse	 ?	 White	 Male	 United-States	 <=50K
20s	 Private	 HS-grad	 Separated	 Tech-support	 White	 Female	 United-States	 <=50K
20s	 Private	 5th-6th	 Never-married	 Adm-clerical	 White	 Female	 Mexico	 <=50K
20s	 Private	 Assoc-voc	 Married-civ-spouse	 Prof-specialty	 White	 Male	 United-States	 >50K
20s	 Private	 Some-college	 Never-married	 Transport-moving	 Black	 Male	 United-States	 <=50K
20s	 Private	 Some-college	 Never-married	 Other-service	 White	 Male	 United-States	 <=50K
20s	 Private	 Some-college	 Married-civ-spouse	 Sales	 White	 Male	 United-States	 >50K
10s	 Private	 9th	 Never-married	 Sales	 Other	 Female	 United-States	 <=50K
20s	 Private	 HS-grad	 Married-civ-spouse	 Machine-op-inspct	 White	 Male	 United-States	 <=50K
70s	 Self-emp-inc	 Some-college	 Married-civ-spouse	 Exec-managerial	 White	 Male	 United-States	 <=50K
10s	 Private	 Some-college	 Married-spouse-absent	 Sales	 White	 Female	 United-States	 <=50K
30s	 Private	 HS-grad	 Never-married	 Transport-moving	 White	 Male	 United-States	 <=50K
30s	 Local-gov	 HS-grad	 Married-civ-spouse	 Craft-repair	 White	 Male	 United-States	 >50K
40s	 Local-gov	 Prof-school	 Separated	 Prof-specialty	 White	 Female	 United-States	 <=50K
20s	 Private	 Some-college	 Separated	 Craft-repair	 White	 Male	 United-States	 <=50K
40s	 Private	 Bachelors	 Divorced	 Exec-managerial	 White	 Female	 United-States	 <=50K
30s	 Self-emp-inc	 HS-grad	 Divorced	 Exec-managerial	 White	 Male	 United-States	 <=50K
20s	 Private	 Bachelors	 Never-married	 Sales	 Black	 Male	 United-States	 <=50K
20s	 State-gov	 Some-college	 Never-married	 Prof-specialty	 White	 Male	 United-States	 <=50K
60s	 ?	 HS-grad	 Married-civ-spouse	 ?	 White	 Male	 United-States	 <=50K
30s	 Private	 HS-grad	 Married-civ-spouse	 Craft-repair	 White	 Male	 United-States	 >50K
30s	 Self-emp-not-inc	 Bachelors	 Divorced	 Other-service	 Black	 Male	 United-States	 >50K
20s	 Self-emp-not-inc	 HS-grad	 Married-civ-spouse	 Transport-moving	 White	 Male	 United-States	 >50K
20s	 Private	 Bachelors	 Never-married	 Prof-specialty	 White	 Female	 United-States	 <=50K
50s	 Private	 10th	 Married-civ-spouse	 Craft-repair	 White	 Male	 United-States	 >50K
30s	 Private	 Masters	 Married-civ-spouse	 Prof-specialty	 White	 Male	 United-States	 >50K
30s	 Private	 Assoc-voc	 Divorced	 Other-service	 White	 Female	 United-States	 <=50K
20s	 Private	 HS-grad	 Divorced	 Machine-op-inspct	 White	 Female	 United-States	 <=50K
30s	 Private	 HS-grad	 Married-civ-spouse	 Machine-op-inspct	 Black	 Male	 Haiti	 <=50K
40s	 Private	 Some-college	 Married-civ-spouse	 Machine-op-inspct	 White	 Male	 United-States	 <=50K
40s	 Private	 Some-college	 Married-civ-spouse	 Exec-managerial	 Black	 Female	 United-States	 >50K
20s	 Private	 Bachelors	 Never-married	 Prof-specialty	 White	 Female	 United-States	 <=50K
40s	 Local-gov	 Masters	 Divorced	 Prof-specialty	 White	 Male	 United-States	 <=50K
50s	 Self-emp-inc	 HS-grad	 Married-civ-spouse	 Exec-managerial	 White	 Male	 United-States	 <=50K
50s	 Self-emp-not-inc	 HS-grad	 Widowed	 Craft-repair	 White	 Female	 United-States	 <=50K
30s	 Private	 Bachelors	 Married-civ-spouse	 Transport-moving	 White	 Male	 United-States	 >50K
80s	 Private	 Prof-school	 Married-civ-spouse	 Prof-specialty	 White	 Male	 United-States	 >50K
30s	 Private	 HS-grad	 Married-civ-spouse	 Exec-managerial	 White	 Male	 United-States	 >50K
40s	 Private	 Bachelors	 Married-civ-spouse	 Exec-managerial	 White	 Male	 United-States	 >50K
30s	 Local-gov	 Bachelors	 Married-civ-spouse	 Protective-serv	 White	 Male	 United-States	 >50K
20s	 Private	 Some-college	 Never-married	 Priv-house-serv	 White	 Female	 United-States	 <=50K
30s	 Private	 HS-grad	 Married-civ-spouse	 Adm-clerical	 Amer-Indian-Eskimo	 Male	 United-States	 >50K
50s	 Self-emp-not-inc	 Assoc-acdm	 Married-spouse-absent	 Farming-fishing	 Amer-Indian-Eskimo	 Male	 United-States	 <=50K
10s	 Self-emp-not-inc	 HS-grad	 Never-married	 Farming-fishing	 White	 Male	 United-States	 <=50K
40s	 Private	 1st-4th	 Married-civ-spouse	 Farming-fishing	 White	 Male	 Mexico	 <=50K
60s	 Private	 Bachelors	 Married-civ-spouse	 Craft-repair	 Asian-Pac-Islander	 Male	 South	 <=50K
40s	 Self-emp-not-inc	 HS-grad	 Married-civ-spouse	 Farming-fishing	 White	 Male	 United-States	 <=50K
20s	 Private	 Some-college	 Never-married	 Other-service	 White	 Female	 United-States	 <=50K
70s	 Private	 HS-grad	 Married-civ-spouse	 Farming-fishing	 White	 Male	 United-States	 <=50K
30s	 Private	 Some-college	 Married-civ-spouse	 Machine-op-inspct	 White	 Male	 United-States	 >50K
50s	 Private	 HS-grad	 Married-civ-spouse	 Adm-clerical	 White	 Male	 United-States	 <=50K
50s	 Self-emp-not-inc	 HS-grad	 Married-civ-spouse	 Farming-fishing	 White	 Male	 United-States	 <=50K
40s	 Private	 Assoc-voc	 Married-civ-spouse	 Exec-managerial	 White	 Male	 United-States	 >50K
30s	 Private	 10th	 Divorced	 Craft-repair	 Black	 Male	 United-States	 <=50K
20s	 Private	 Some-college	 Married-civ-spouse	 Sales	 Black	 Male	 United-States	 <=50K
20s	 ?	 Some-college	 Never-married	 ?	 White	 Male	 United-States	 <=50K
20s	 Private	 10th	 Never-married	 Machine-op-inspct	 White	 Male	 Dominican-Republic	 <=50K
50s	 Private	 Bachelors	 Married-civ-spouse	 Sales	 Black	 Male	 United-States	 >50K
30s	 Private	 Assoc-voc	 Married-civ-spouse	 Sales	 White	 Male	 United-States	 >50K
30s	 Private	 HS-grad	 Married-civ-spouse	 Other-service	 Black	 Male	 United-States	 <=50K
20s	 Private	 5th-6th	 Married-civ-spouse	 Other-service	 White	 Male	 Mexico	 <=50K
20s	 Private	 9th	 Never-married	 Sales	 White	 Male	 United-States	 <=50K
20s	 Private	 Assoc-voc	 Married-civ-spouse	 Farming-fishing	 White	 Male	 United-States	 >50K
20s	 Private	 Assoc-voc	 Never-married	 Adm-clerical	 White	 Female	 United-States	 <=50K
40s	 Private	 Some-college	 Divorced	 Machine-op-inspct	 White	 Male	 United-States	 <=50K
20s	 Private	 11th	 Married-civ-spouse	 Transport-moving	 White	 Male	 United-States	 <=50K
70s	 ?	 7th-8th	 Widowed	 ?	 White	 Female	 Poland	 <=50K
20s	 Private	 HS-grad	 Never-married	 Other-service	 White	 Male	 United-States	 <=50K
60s	 Private	 Doctorate	 Married-civ-spouse	 Prof-specialty	 White	 Male	 United-States	 >50K
30s	 Private	 Some-college	 Married-civ-spouse	 Sales	 White	 Male	 United-States	 <=50K
30s	 Private	 Masters	 Married-civ-spouse	 Exec-managerial	 White	 Male	 El-Salvador	 >50K
50s	 Private	 Some-college	 Married-civ-spouse	 Sales	 White	 Female	 United-States	 <=50K
50s	 Local-gov	 Bachelors	 Married-civ-spouse	 Prof-specialty	 White	 Male	 United-States	 >50K
20s	 Private	 Some-college	 Never-married	 Adm-clerical	 White	 Female	 Nicaragua	 <=50K
30s	 Private	 HS-grad	 Married-civ-spouse	 Craft-repair	 White	 Male	 United-States	 <=50K
40s	 Private	 HS-grad	 Never-married	 Transport-moving	 Amer-Indian-Eskimo	 Male	 United-States	 <=50K
50s	 Private	 7th-8th	 Widowed	 Farming-fishing	 White	 Female	 Guatemala	 <=50K
40s	 Private	 HS-grad	 Married-civ-spouse	 Sales	 White	 Male	 Mexico	 <=50K
40s	 Private	 HS-grad	 Widowed	 Sales	 Amer-Indian-Eskimo	 Female	 United-States	 <=50K
20s	 Private	 Some-college	 Never-married	 Craft-repair	 White	 Male	 United-States	 <=50K
30s	 Private	 HS-grad	 Married-civ-spouse	 Craft-repair	 White	 Male	 United-States	 <=50K
30s	 Private	 HS-grad	 Married-civ-spouse	 Machine-op-inspct	 White	 Male	 United-States	 <=50K
50s	 Local-gov	 HS-grad	 Married-civ-spouse	 Exec-managerial	 Amer-Indian-Eskimo	 Male	 United-States	 <=50K
50s	 Local-gov	 Masters	 Married-civ-spouse	 Prof-specialty	 White	 Male	 United-States	 <=50K
20s	 Private	 HS-grad	 Never-married	 Adm-clerical	 Black	 Female	 United-States	 <=50K
30s	 Self-emp-not-inc	 Assoc-acdm	 Married-civ-spouse	 Craft-repair	 White	 Male	 United-States	 <=50K
50s	 Private	 Masters	 Married-civ-spouse	 Exec-managerial	 White	 Male	 Greece	 >50K
40s	 Private	 10th	 Married-spouse-absent	 Transport-moving	 Black	 Male	 United-States	 <=50K
30s	 Local-gov	 Some-college	 Never-married	 Adm-clerical	 Black	 Male	 United-States	 <=50K
30s	 Private	 HS-grad	 Married-civ-spouse	 Sales	 White	 Male	 Ecuador	 <=50K
20s	 Private	 Some-college	 Married-civ-spouse	 Farming-fishing	 Other	 Male	 United-States	 <=50K
20s	 Private	 Some-college	 Never-married	 Handlers-cleaners	 White	 Female	 United-States	 <=50K
10s	 Private	 Some-college	 Never-married	 Tech-support	 White	 Female	 ?	 <=50K
40s	 Private	 HS-grad	 Married-civ-spouse	 Sales	 White	 Male	 United-States	 <=50K
40s	 Self-emp-not-inc	 HS-grad	 Married-civ-spouse	 Exec-managerial	 White	 Male	 United-States	 >50K
50s	 Private	 HS-grad	 Married-civ-spouse	 Sales	 White	 Male	 United-States	 <=50K
20s	 Private	 Some-college	 Never-married	 Tech-support	 White	 Male	 United-States	 <=50K
40s	 Federal-gov	 Bachelors	 Married-civ-spouse	 Exec-managerial	 White	 Male	 United-States	 >50K
50s	 Private	 7th-8th	 Divorced	 Machine-op-inspct	 White	 Male	 United-States	 <=50K
20s	 Private	 HS-grad	 Never-married	 Transport-moving	 White	 Male	 United-States	 <=50K
20s	 Private	 5th-6th	 Never-married	 Craft-repair	 White	 Male	 Mexico	 <=50K
30s	 Private	 Assoc-voc	 Never-married	 Protective-serv	 Black	 Male	 United-States	 <=50K
40s	 Private	 HS-grad	 Married-civ-spouse	 Transport-moving	 White	 Male	 United-States	 <=50K
60s	 Self-emp-not-inc	 Some-college	 Married-civ-spouse	 Sales	 White	 Male	 United-States	 <=50K
20s	 Private	 Bachelors	 Married-civ-spouse	 Exec-managerial	 White	 Male	 United-States	 <=50K
10s	 Local-gov	 11th	 Never-married	 Adm-clerical	 White	 Female	 United-States	 <=50K
40s	 State-gov	 HS-grad	 Married-civ-spouse	 Transport-moving	 White	 Male	 United-States	 >50K
40s	 Private	 HS-grad	 Married-civ-spouse	 Sales	 White	 Male	 United-States	 >50K
40s	 Private	 Assoc-acdm	 Married-civ-spouse	 Sales	 White	 Male	 United-States	 <=50K
50s	 ?	 Some-college	 Married-civ-spouse	 ?	 White	 Male	 United-States	 <=50K
60s	 Private	 Some-college	 Married-civ-spouse	 Transport-moving	 White	 Male	 United-States	 <=50K
40s	 Private	 Masters	 Separated	 Sales	 White	 Female	 United-States	 <=50K
40s	 Private	 11th	 Never-married	 Other-service	 White	 Male	 United-States	 <=50K
30s	 Private	 HS-grad	 Divorced	 Adm-clerical	 White	 Female	 United-States	 <=50K
40s	 Self-emp-not-inc	 Some-college	 Married-civ-spouse	 Farming-fishing	 White	 Male	 United-States	 <=50K
20s	 Federal-gov	 HS-grad	 Divorced	 Adm-clerical	 White	 Male	 United-States	 <=50K
50s	 Self-emp-not-inc	 Some-college	 Divorced	 Craft-repair	 White	 Male	 United-States	 <=50K
30s	 ?	 HS-grad	 Married-civ-spouse	 ?	 White	 Male	 ?	 <=50K
50s	 ?	 Prof-school	 Married-spouse-absent	 ?	 Asian-Pac-Islander	 Female	 Vietnam	 <=50K
20s	 Private	 Bachelors	 Married-civ-spouse	 Machine-op-inspct	 White	 Male	 United-States	 <=50K
60s	 Self-emp-not-inc	 7th-8th	 Widowed	 Other-service	 White	 Female	 United-States	 <=50K
40s	 Local-gov	 Bachelors	 Divorced	 Prof-specialty	 White	 Male	 United-States	 <=50K
20s	 Private	 HS-grad	 Married-spouse-absent	 Machine-op-inspct	 White	 Female	 El-Salvador	 <=50K
70s	 Self-emp-not-inc	 Bachelors	 Married-civ-spouse	 Craft-repair	 White	 Male	 United-States	 >50K
50s	 Private	 Some-college	 Married-civ-spouse	 Sales	 White	 Male	 United-States	 >50K
40s	 Private	 HS-grad	 Separated	 Machine-op-inspct	 Black	 Female	 United-States	 <=50K
20s	 Local-gov	 Bachelors	 Never-married	 Prof-specialty	 White	 Female	 United-States	 <=50K
60s	 Private	 Bachelors	 Married-civ-spouse	 Machine-op-inspct	 White	 Male	 United-States	 <=50K
10s	 Private	 10th	 Never-married	 Other-service	 White	 Male	 United-States	 <=50K
60s	 Private	 Some-college	 Married-civ-spouse	 Exec-managerial	 White	 Male	 United-States	 >50K
40s	 State-gov	 11th	 Married-civ-spouse	 Farming-fishing	 White	 Male	 United-States	 <=50K
30s	 Private	 9th	 Divorced	 Adm-clerical	 White	 Female	 United-States	 <=50K
30s	 Private	 Bachelors	 Married-civ-spouse	 Exec-managerial	 White	 Male	 United-States	 >50K
30s	 Private	 Some-college	 Divorced	 Adm-clerical	 White	 Female	 United-States	 <=50K
30s	 Private	 Bachelors	 Married-civ-spouse	 Adm-clerical	 White	 Male	 United-States	 <=50K
30s	 Private	 HS-grad	 Married-civ-spouse	 Exec-managerial	 White	 Male	 United-States	 <=50K
60s	 Private	 HS-grad	 Widowed	 Priv-house-serv	 White	 Female	 England	 <=50K
60s	 Private	 Assoc-voc	 Divorced	 Prof-specialty	 White	 Female	 United-States	 <=50K
30s	 Private	 Bachelors	 Married-civ-spouse	 Adm-clerical	 White	 Male	 Iran	 >50K
50s	 State-gov	 Doctorate	 Married-civ-spouse	 Prof-specialty	 Asian-Pac-Islander	 Male	 China	 <=50K
40s	 Self-emp-not-inc	 Some-college	 Never-married	 Transport-moving	 Black	 Male	 United-States	 <=50K
40s	 Local-gov	 HS-grad	 Never-married	 Adm-clerical	 Black	 Female	 United-States	 <=50K
60s	 Private	 Masters	 Married-civ-spouse	 Prof-specialty	 White	 Male	 ?	 >50K
20s	 Private	 Some-college	 Divorced	 Other-service	 White	 Male	 United-States	 <=50K
30s	 Private	 11th	 Married-civ-spouse	 Other-service	 White	 Male	 United-States	 <=50K
20s	 Private	 HS-grad	 Married-civ-spouse	 Adm-clerical	 White	 Male	 United-States	 <=50K
40s	 Private	 Bachelors	 Married-civ-spouse	 Exec-managerial	 White	 Male	 United-States	 >50K
30s	 Private	 HS-grad	 Married-civ-spouse	 Transport-moving	 White	 Male	 United-States	 >50K
70s	 ?	 11th	 Married-civ-spouse	 ?	 White	 Male	 United-States	 <=50K
60s	 Self-emp-not-inc	 HS-grad	 Married-civ-spouse	 Farming-fishing	 White	 Male	 United-States	 <=50K
40s	 Private	 Bachelors	 Divorced	 Other-service	 White	 Female	 United-States	 >50K
50s	 Private	 HS-grad	 Widowed	 Other-service	 White	 Female	 United-States	 <=50K
40s	 Private	 Bachelors	 Married-civ-spouse	 Exec-managerial	 White	 Male	 United-States	 >50K
30s	 Private	 HS-grad	 Divorced	 Machine-op-inspct	 White	 Male	 United-States	 <=50K
40s	 State-gov	 Masters	 Married-civ-spouse	 Prof-specialty	 White	 Male	 United-States	 <=50K
20s	 Private	 HS-grad	 Never-married	 Other-service	 White	 Female	 United-States	 <=50K
20s	 Private	 HS-grad	 Never-married	 Farming-fishing	 White	 Male	 United-States	 <=50K
20s	 ?	 Some-college	 Never-married	 ?	 White	 Female	 United-States	 <=50K
20s	 Private	 HS-grad	 Never-married	 Handlers-cleaners	 Asian-Pac-Islander	 Male	 United-States	 <=50K
30s	 Self-emp-inc	 Some-college	 Married-civ-spouse	 Prof-specialty	 White	 Male	 United-States	 <=50K
50s	 Local-gov	 Some-college	 Married-civ-spouse	 Protective-serv	 White	 Male	 United-States	 <=50K
10s	 ?	 11th	 Never-married	 ?	 White	 Male	 United-States	 <=50K
